ds,y,temp,daylight,holiday
2019-05-18,103.0,13.1,15.55,0
2019-05-19,83.0,16.5,15.59388888888889,0
2019-05-20,94.0,13.5,15.637222222222222,0
2019-05-21,86.0,14.1,15.679444444444444,0
2019-05-22,86.0,12.5,15.720833333333333,0
2019-05-23,61.0,12.4,15.761111111111111,0
2019-05-24,84.0,13.9,15.800277777777778,0
2019-05-25,115.0,15.6,15.838611111111112,0
2019-05-26,71.0,15.5,15.875833333333333,0
2019-05-27,76.0,17.2,15.911944444444444,0
2019-05-28,72.0,13.3,15.946944444444444,0
2019-05-29,59.0,11.1,15.980833333333333,0
2019-05-30,84.0,12.9,16.01361111111111,0
2019-05-31,70.0,16.3,16.045,0
2019-06-01,83.0,19.5,16.075277777777778,0
2019-06-02,110.0,21.1,16.104166666666668,0
2019-06-03,98.0,21.9,16.131944444444443,0
2019-06-04,76.0,21.3,16.158333333333335,0
2019-06-05,83.0,22.3,16.183333333333334,0
2019-06-06,100.0,18.9,16.206944444444446,0
2019-06-07,94.0,17.7,16.229166666666668,0
2019-06-08,76.0,17.2,16.25,0
2019-06-09,102.0,17.9,16.269444444444446,0
2019-06-10,85.0,22.3,16.287222222222223,0
2019-06-11,111.0,23.2,16.30388888888889,0
2019-06-12,105.0,24.6,16.31861111111111,0
2019-06-13,85.0,19.8,16.33222222222222,0
2019-06-14,133.0,22.6,16.344166666666666,0
2019-06-15,99.0,25.1,16.354444444444443,0
2019-06-16,70.0,18.3,16.363333333333333,0
2019-06-17,89.0,19.7,16.370833333333334,0
2019-06-18,72.0,20.9,16.376666666666665,0
2019-06-19,95.0,21.9,16.38083333333333,0
2019-06-20,80.0,21.3,16.383333333333333,0
2019-06-21,98.0,20.6,16.384444444444444,0
2019-06-22,96.0,19.7,16.384166666666665,0
2019-06-23,73.0,20.1,16.381944444444443,0
2019-06-24,82.0,21.2,16.378333333333334,0
2019-06-25,93.0,24.7,16.373333333333335,0
2019-06-26,109.0,28.0,16.36638888888889,0
2019-06-27,98.0,24.3,16.358333333333334,0
2019-06-28,109.0,18.8,16.348333333333333,0
2019-06-29,107.0,20.8,16.336944444444445,1
2019-06-30,73.0,26.2,16.324166666666667,1
2019-07-01,102.0,28.1,16.31,1
2019-07-02,73.0,20.6,16.294166666666666,1
2019-07-03,104.0,16.9,16.276666666666667,1
2019-07-04,113.0,17.4,16.258055555555554,1
2019-07-05,67.0,19.3,16.23777777777778,1
2019-07-06,85.0,22.9,16.21638888888889,1
2019-07-07,66.0,16.8,16.19333333333333,1
2019-07-08,77.0,14.3,16.16888888888889,1
2019-07-09,53.0,13.7,16.143333333333334,1
2019-07-10,82.0,16.4,16.11638888888889,1
2019-07-11,96.0,17.1,16.088055555555556,1
2019-07-12,105.0,17.1,16.058611111111112,1
2019-07-13,97.0,16.3,16.02777777777778,1
2019-07-14,59.0,16.3,15.995833333333334,1
2019-07-15,89.0,16.6,15.962777777777777,1
2019-07-16,73.0,15.6,15.928611111111111,1
2019-07-17,88.0,17.0,15.893055555555556,1
2019-07-18,75.0,19.1,15.856666666666667,1
2019-07-19,96.0,19.8,15.819166666666666,1
2019-07-20,94.0,23.7,15.780555555555555,1
2019-07-21,105.0,19.6,15.741111111111111,1
2019-07-22,91.0,21.9,15.700555555555555,1
2019-07-23,100.0,25.0,15.659166666666666,1
2019-07-24,84.0,24.9,15.616666666666667,1
2019-07-25,89.0,26.2,15.573611111111111,1
2019-07-26,110.0,25.7,15.529444444444444,1
2019-07-27,83.0,22.9,15.484444444444444,1
2019-07-28,63.0,21.8,15.438611111111111,1
2019-07-29,71.0,23.3,15.392222222222221,1
2019-07-30,70.0,23.1,15.344722222222222,1
2019-07-31,79.0,20.6,15.296944444444444,1
2019-08-01,107.0,19.8,15.248055555555556,1
2019-08-02,67.0,19.2,15.198888888888888,1
2019-08-03,75.0,17.5,15.148888888888889,1
2019-08-04,86.0,18.4,15.098055555555556,1
2019-08-05,86.0,19.8,15.046944444444444,1
2019-08-06,73.0,21.3,14.995,1
2019-08-07,99.0,19.4,14.942777777777778,1
2019-08-08,90.0,19.2,14.89,1
2019-08-09,122.0,22.2,14.836666666666666,1
2019-08-10,105.0,19.6,14.782777777777778,1
2019-08-11,114.0,21.7,14.72861111111111,1
2019-08-12,84.0,16.8,14.67388888888889,1
2019-08-13,75.0,17.7,14.618611111111111,1
2019-08-14,68.0,15.8,14.563055555555556,1
2019-08-15,103.0,16.2,14.507222222222222,1
2019-08-16,69.0,16.9,14.450833333333334,1
2019-08-17,89.0,17.7,14.394166666666667,1
2019-08-18,108.0,23.2,14.337222222222222,1
2019-08-19,56.0,19.0,14.28,1
2019-08-20,72.0,17.6,14.2225,1
2019-08-21,83.0,16.5,14.164444444444445,1
2019-08-22,87.0,16.7,14.106388888888889,1
2019-08-23,113.0,18.3,14.048055555555555,1
2019-08-24,87.0,20.7,13.989166666666666,1
2019-08-25,83.0,22.1,13.930277777777778,1
2019-08-26,87.0,22.7,13.87111111111111,1
2019-08-27,80.0,22.5,13.811944444444444,1
2019-08-28,94.0,23.3,13.752222222222223,1
2019-08-29,85.0,22.3,13.6925,1
2019-08-30,67.0,22.6,13.6325,1
2019-08-31,110.0,23.4,13.5725,1
2019-09-01,72.0,22.1,13.512222222222222,1
2019-09-02,89.0,15.8,13.451666666666666,0
2019-09-03,93.0,15.0,13.391111111111112,0
2019-09-04,120.0,17.3,13.330555555555556,0
2019-09-05,76.0,16.8,13.269722222222223,0
2019-09-06,94.0,14.0,13.20861111111111,0
